,NAME,PRICE
0,HP 15s Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) 15s-GR0006AU Thin and Light Laptop,"₹32,990"
1,Lenovo APU Dual Core A9 A99425 - (4 GB/1 TB HDD/DOS) E41-45 Notebook,"₹21,896"
2,HP 15s Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15s-du1052TU Thin and Light Laptop,"₹28,490"
3,HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du3038TU Thin and Light Laptop,"₹42,490"
4,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,"₹42,990"
5,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1066TU Thin and Light Laptop,"₹40,990"
6,Lenovo V Series Athlon Dual Core 3150U - (4 GB/1 TB HDD/Windows 10 Home) V-15 ADA Laptop,"₹25,990"
7,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10 Home) 15s-GR0011AU Thin and Light Laptop,"₹37,490"
8,HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹50,990"
9,DELL Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,"₹36,057"
10,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15s-FQ2075TU Thin and Light Laptop,"₹41,490"
11,Vaio E Series Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) NE15V2IN007P Thin and Light ...,"₹50,990"
12,ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB322TS Thin and Li...,"₹45,990"
13,acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹56,990"
14,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Laptop,"₹45,490"
15,ASUS VivoBook 15 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X515JA-BR381T Thin and Light Lapto...,"₹34,990"
16,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du1064TU Laptop,"₹44,490"
17,ASUS Chromebooks Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-BZ0522 Thin and Light ...,"₹23,999"
18,ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹54,990"
19,DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10) vostro 3400 Notebook,"₹39,650"
20,DELL Inspiron 3501 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop,"₹57,150"
21,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dv0054TU Thin and Light Laptop,"₹66,990"
22,ASUS Chromebooks Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C214MA-BU0452 2 in 1 Laptop,"₹23,999"
23,HP 15s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FQ2535TU Thin and Light Laptop,"₹58,990"
